Transaction_unique_identifier,Price,Date_of_Transfer,Postcode,Property_Type,Old_New,Duration,PAON,SAON,Street,Locality,Town_City,District,County,PPD_Category_Type,Record_Status,count
{61AB584D-A880-4236-8110-AD072710499B},120000,1995-01-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 12,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{0F8AA91A-317C-4E50-B6A5-AB9D208C76F9},59000,1995-06-30 00:00,N12 8QZ,F,N,L,"NORBURY COURT, 897",FLAT 2,HIGH ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,5
{3F6281FE-0603-487D-9F0F-D296270DEF2A},120000,1995-02-23 00:00,N12 8LS,F,Y,L,"DEVONSHIRE HOUSE, 45",FLAT 12,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{EA4E5B7E-C8A0-4A8E-9D8F-D9A87EAF9D69},82495,1995-06-09 00:00,N12 8NU,F,Y,L,"BEATRICE LODGE, 4",FLAT 3,ALEXANDRA GROVE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{0B2F8E62-7A15-4171-B209-6E2542159563},115000,1995-07-17 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 4,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{E6351B07-B6E9-4E05-83A3-D66C2CD8CBA4},123000,1995-07-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 19,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,5
{28CCB636-85A1-4BAB-9EAD-8CBD43A79DDF},52250,1995-02-01 00:00,N12 8DG,F,N,L,DERBY HOUSE,FLAT 3,COLERIDGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{98961472-6656-4AC9-8F47-8CD18495A2A9},125000,1995-02-23 00:00,N12 8LS,F,Y,L,"DEVONSHIRE HOUSE, 45",FLAT 10,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{660422B2-2872-4A10-A5FF-6E6F37789AA6},82495,1995-05-31 00:00,N12 8NU,F,Y,L,"BEATRICE LODGE, 4",FLAT 5,ALEXANDRA GROVE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{37D470FA-FC22-4D08-A025-894F74834853},55000,1995-06-01 00:00,N12 0AR,F,N,L,NORTH GATES,FLAT 33,HIGH ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{69077924-BE2A-4618-9AB3-63D9AA7432DC},105000,1995-03-08 00:00,N12 0JL,F,N,L,BARRYMORE,FLAT 2,BOW LANE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{49851F32-8C6A-422C-A846-8CF502EE93D3},76000,1995-03-30 00:00,N12 8HU,F,N,L,HOLMDENE,FLAT 16,HOLDEN ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{DFF099C3-15EA-41F5-8376-8E24872D7368},137500,1995-01-12 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 18,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{1BD4557B-70D5-4E91-B17E-6B0C5B1B4493},115087,1995-07-06 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 10,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{00325F68-5758-4A80-9CE7-F9343CB19EA8},70000,1995-12-15 00:00,N12 8NP,F,N,L,287,FLAT 4,BALLARDS LANE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,6
{05EF6E85-943E-40A4-95BB-E197949A55A4},55000,1995-04-21 00:00,N12 9AJ,F,N,L,PARK VIEW COURT,6,TORRINGTON PARK,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{CFE33C49-2E24-4DAD-9951-F3A2F34CAA47},88000,1995-01-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 2,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{0FE0612B-F4B7-4663-9ACD-F9BD6767006F},67000,1995-07-27 00:00,N12 8RU,F,N,L,CHOLMELEY COURT,FLAT 4,WOODSIDE PARK ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{262DC09C-EC9B-4732-A35A-E2AA2649DCD9},73000,1995-03-06 00:00,N12 8SB,F,N,L,ASHBOURNE COURT,FLAT 65,ASHBOURNE CLOSE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{9C7C394D-4744-43B3-A449-3040E92A99A2},115000,1995-10-04 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 11,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{293464A5-59AE-4E80-9B98-293F8C64952F},65995,1995-06-07 00:00,N12 8NU,F,Y,L,"BEATRICE LODGE, 4",FLAT 6,ALEXANDRA GROVE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{01EE60AB-6862-4B3F-8D19-3AF659C3366A},59995,1995-02-20 00:00,N12 8PJ,F,N,L,5,FLAT 1,MOSS HALL GROVE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,6
{C9D6A664-62D6-42AC-9D47-37BE3417EA96},58950,1995-03-31 00:00,N12 0EP,F,N,L,"MEDINA LODGE, 252",FLAT 3,BALLARDS LANE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{F9822A71-3E86-44E4-9FC5-3200FBE40A45},81500,1995-05-13 00:00,N12 0DE,F,N,L,"ELDERBERRY LODGE, 28",FLAT 8,CHRISTCHURCH AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{19CD420A-2D14-45D2-9AD6-05A3ED39A66C},60000,1995-02-24 00:00,N12 8RF,F,N,L,BEECHOLME,FLAT 6,WOODSIDE PARK ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{20C00083-D4DF-447C-9E7E-044F0AF4EFEF},149950,1995-02-27 00:00,N12 8EH,F,N,L,"THE CREST, 112",FLAT 8,NETHER STREET,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{2F972D6C-139A-4D08-8C5D-167D4250F06D},175000,1995-01-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 3,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{A3F1E6B6-427E-4FD5-AB06-12BED1538A71},88000,1995-01-17 00:00,N12 8LR,F,Y,L,CAVENDISH HOUSE,FLAT 10,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{B2148F0B-6D35-4FD4-9FD5-2EDE45F6AB1E},63500,1995-10-20 00:00,N12 8TD,F,N,L,CLAIRE COURT,FLAT 1,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,5
{D470FCF4-89B4-4E6F-B95D-2F1A110C7D2E},82495,1995-05-31 00:00,N12 8NU,F,Y,L,"BEATRICE LODGE, 4",FLAT 1,ALEXANDRA GROVE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,5
{DB15B142-C1E1-43B2-AAA6-10EE14DA1931},115087,1995-07-07 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 15,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{3B3ADB48-838D-4EDE-AFA8-282726736672},95500,1995-10-27 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 8,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{2A289E9E-FC63-CDC8-E050-A8C063054829},39000,1995-05-12 00:00,N12 0ND,F,N,L,HALLIWICK COURT,8,WOODHOUSE ROAD,,LONDON,BARNET,GREATER LONDON,A,A,4
{2A289E9E-AF07-CDC8-E050-A8C063054829},31500,1995-03-23 00:00,N12 0ND,F,N,L,HALLIWICK COURT,8,WOODHOUSE ROAD,,LONDON,BARNET,GREATER LONDON,A,A,4
{2A289E9E-EE16-CDC8-E050-A8C063054829},47250,1995-04-28 00:00,N12 8QU,F,N,L,6,SECOND FLOOR FLAT,WOODSIDE GROVE,,LONDON,BARNET,GREATER LONDON,A,A,6
{2A289E9F-CEA2-CDC8-E050-A8C063054829},49500,1995-09-22 00:00,N12 0QF,F,N,L,JAMES COURT,FLAT 6,LEGION WAY,,LONDON,BARNET,GREATER LONDON,A,A,3
{2A289E9F-CED9-CDC8-E050-A8C063054829},35000,1995-10-27 00:00,N12 9NG,F,N,L,ARUNDEL COURT,FLAT 31,WOODHOUSE ROAD,,LONDON,BARNET,GREATER LONDON,A,A,2
{2A289E9F-E1E8-CDC8-E050-A8C063054829},42200,1995-12-05 00:00,N12 8BJ,F,N,L,DUNCAN COURT,FLAT 2,NETHER STREET,,LONDON,BARNET,GREATER LONDON,A,A,2
{8718F547-452F-4D9E-8AEA-9F59F5E7F52C},70000,1995-11-24 00:00,N12 9UH,F,N,L,PARK COURT,22,FRIERN PARK,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{2A289E9F-AB6B-CDC8-E050-A8C063054829},42000,1995-08-14 00:00,N12 8PN,F,N,L,"WORSLEY COURT, 1",FLAT 8,MOSS HALL GROVE,,LONDON,BARNET,GREATER LONDON,A,A,3
{8AABA32F-1E4E-44F4-98D6-5A80E7470451},57000,1995-07-17 00:00,N12 9UL,F,N,L,"LYCHGATE COURT, 34",FLAT 26,FRIERN PARK,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{7BD20A2C-676C-4938-8FA6-9BDDB5063CBF},74500,1995-11-29 00:00,N12 8BN,F,N,L,"DOWNING COURT, 60",FLAT 16,GAINSBOROUGH ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{07962E86-3ED2-4AF6-B5FC-DD73F4030B08},125000,1995-02-23 00:00,N12 8LS,F,Y,L,"DEVONSHIRE HOUSE, 45",FLAT 2,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{AEB340F3-7FFD-4BDA-B127-8BC1FC5BB6C1},60000,1995-04-28 00:00,N12 7DN,F,N,L,"JUPITER COURT, 36",FLAT 4,HOLDEN ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{E82FAEBE-5569-4B87-9883-E86BD1BCDE4D},110000,1995-02-23 00:00,N12 8LS,F,Y,L,"DEVONSHIRE HOUSE, 45",FLAT 3,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{C2937B98-E18E-4B41-8B4B-DDE334FD6DD3},62500,1995-05-19 00:00,N12 0EW,F,N,L,KINGS LODGE,FLAT 8,KINGSWAY,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{1D98A995-1255-4188-B1E6-30BEFAFC59BF},92500,1995-12-11 00:00,N12 0DE,F,N,L,"ELDERBERRY LODGE, 28",FLAT 3,CHRISTCHURCH AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{DB55046F-49E5-4BCE-B5D6-30C3C1046182},175000,1995-01-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 4,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,5
{AB204B86-FB99-4242-AD65-C93F08CFA402},59950,1995-06-30 00:00,N12 9DT,F,N,L,62,GROUND FLOOR FLAT,STANHOPE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{51DAD595-EB67-4451-A8AD-37F2DE510AC0},86000,1995-01-17 00:00,N12 8LR,F,Y,L,CAVENDISH HOUSE,FLAT 20,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{E6ABF8B6-5A77-4240-B4B6-8FF67ACAA51E},84000,1995-09-11 00:00,N12 0DZ,F,N,L,655,FLAT 2,HIGH ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{9C43969C-9EA3-49DF-AABF-23A5200ADEE3},105000,1995-08-15 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 9,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{92E84B61-BAC1-48A4-BEB9-C9F9D8559471},88000,1995-11-21 00:00,N12 7EJ,F,N,L,"TUDOR LODGE, 49",FLAT 8,HOLDEN ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{5B53590C-7D67-4757-A058-0A2408FCC598},125000,1995-02-23 00:00,N12 8LS,F,Y,L,"DEVONSHIRE HOUSE, 45",FLAT 15,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{91C018E6-2E78-482C-B624-541209011DB4},54750,1995-01-27 00:00,N12 8HS,F,N,L,27,FLAT 3,HOLDEN ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{4F5A6635-4D42-420C-B16E-15C338D2713E},68000,1995-06-16 00:00,N12 8HG,F,N,L,34,FLAT 1,ALEXANDRA GROVE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{596091FB-3049-430B-B47F-1FD7EE89A4AC},80500,1995-08-17 00:00,N12 7DY,F,N,L,"BARCHESTER LODGE, 92 - 94",FLAT 6,HOLDEN ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{FC1F76EC-D025-4E4E-ABA1-3CB35B78C7EC},125000,1995-01-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 13,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{66DC178C-A2E7-462C-A6EA-392E428B8E0F},59950,1995-11-27 00:00,N12 9HW,F,N,L,"HOMAN COURT, 17",FLAT 18,FRIERN WATCH AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{67F8B19E-8441-467D-8499-F15E8930D387},87000,1995-02-23 00:00,N12 8LS,F,Y,L,"DEVONSHIRE HOUSE, 45",FLAT 13,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{526F345B-D2CF-46A2-B1B4-2A6CBF83F9BA},57000,1995-06-30 00:00,N12 9UE,F,N,L,HENLEY HOUSE,FLAT 9,FRIERN PARK,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{2E29A172-BCCF-4BF9-A606-1E5561C9A1C3},120000,1995-06-30 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 16,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{34831DD2-9D5E-4910-A6B4-21EA50577ACE},125000,1995-02-23 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 4,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{A3AF8114-FA68-4557-8219-407FE04DBBAB},75000,1995-12-11 00:00,N12 8PG,F,N,L,THE LANTERNS,FLAT 8,MOSS HALL GROVE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{5529E7E2-576D-4DE3-BA81-25CBEC83F1F0},54000,1995-10-24 00:00,N12 9TA,F,N,L,"DANESCROFT, 21",2,TORRINGTON PARK,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{F76A1C94-9017-4D5F-834E-63F9E4EF3660},104000,1995-02-09 00:00,N12 8XA,F,N,L,ARDEN GRANGE,FLAT 4,AVENUE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{ED178C68-B441-4E5B-94D0-3F0308B0304B},88000,1995-01-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 15,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{B8D3D46B-FDAB-4356-9A63-3D967EE2E8FA},120000,1995-08-25 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 2,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{17CB5312-F7C9-46AC-B9FF-645E074A6A43},56995,1995-02-28 00:00,N12 8DW,F,Y,L,"VINE LODGE, 15",FLAT 10,HUTTON GROVE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{746A0280-3D36-485C-A982-486673CA6B0D},85000,1995-10-20 00:00,N12 9HW,F,N,L,"HOMAN COURT, 17",FLAT 5,FRIERN WATCH AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{34234950-751D-48CA-86E9-808B6FD0B7E4},54000,1995-10-27 00:00,N12 8EL,F,N,L,WORCESTER COURT,FLAT 14,AVONDALE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{7137505C-BC41-471B-BF37-CB41E0EF7CB4},62750,1995-03-06 00:00,N12 8RU,F,N,L,CHOLMELEY COURT,FLAT 5,WOODSIDE PARK ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{42398B8F-6C87-47E9-B47F-9D10ED83E27A},125000,1995-02-23 00:00,N12 8LS,F,Y,L,"DEVONSHIRE HOUSE, 45",FLAT 16,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{75F98244-D105-4221-A68D-1BB2C3F7B2D8},125000,1995-02-23 00:00,N12 8LS,F,Y,L,"DEVONSHIRE HOUSE, 45",FLAT 1,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,5
{0332FCD8-0319-4ADC-985F-6F1F6FC6A18B},58000,1995-11-22 00:00,N12 8QZ,F,N,L,"NORBURY COURT, 897",FLAT 4,HIGH ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{C27AB507-F672-4080-BB92-621EA82C875A},120000,1995-02-23 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 6,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{67836BE4-E71B-452C-BE72-72B4F6DD19B8},92000,1995-09-29 00:00,N12 7NY,F,N,L,23,FLAT 2,WESTBURY ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{CA731943-D818-44BE-8C1D-A47A1C41AE0B},113000,1995-10-31 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 4,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,5
{18F4D271-B8B8-473E-A806-ABF0894BB3C1},86000,1995-01-19 00:00,N12 8RE,F,Y,L,47,FLAT D,WOODSIDE LANE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{5509924E-6F95-424C-8C83-7DDAC7CBFCEA},132000,1995-03-20 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 12,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{ED377634-D438-4A81-A9F3-89E270A67BF9},118000,1995-09-14 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 1,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,5
{2A289E9D-E40D-CDC8-E050-A8C063054829},48000,1995-04-12 00:00,N12 9TH,F,N,L,DAMON HOUSE,FLAT 4,TORRINGTON PARK,,LONDON,BARNET,GREATER LONDON,A,A,2
{2A289E9D-C28E-CDC8-E050-A8C063054829},48300,1995-04-03 00:00,N12 8HS,F,N,L,27,FLAT 2,HOLDEN ROAD,,LONDON,BARNET,GREATER LONDON,A,A,2
{2A289E9D-650C-CDC8-E050-A8C063054829},50000,1995-05-22 00:00,N12 7DG,F,N,L,"GARDEN COURT, 63",FLAT 6,HOLDEN ROAD,,LONDON,BARNET,GREATER LONDON,A,A,2
{2A289E9D-7F65-CDC8-E050-A8C063054829},42000,1995-06-26 00:00,N12 8SA,F,N,L,ASHBOURNE COURT,FLAT 32,ASHBOURNE CLOSE,,LONDON,BARNET,GREATER LONDON,A,A,2
{E3D3B573-1AD9-42B5-896E-6BF0A827E068},145000,1995-01-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 9,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{502046CA-68B1-4735-89C5-6BF75F0BCC7D},76700,1995-06-30 00:00,N12 8TW,F,N,L,BROOKFIELD COURT,FLAT 4,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{8EA658DA-BF25-4701-A1A9-615CC19C622C},70000,1995-05-12 00:00,N12 0EW,F,N,L,KINGS LODGE,FLAT 25,KINGSWAY,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{2A289E9E-E13C-CDC8-E050-A8C063054829},44000,1995-09-14 00:00,N12 8NP,F,N,L,287,FLAT 4,BALLARDS LANE,,LONDON,BARNET,GREATER LONDON,A,A,6
{D2EE8DF1-EA6C-40AD-B925-DEAB920DC855},145000,1995-01-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 14,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{2A289E9E-E28C-CDC8-E050-A8C063054829},48000,1995-11-06 00:00,N12 8HJ,F,N,L,VIVIAN COURT,FLAT 7,ALEXANDRA GROVE,,LONDON,BARNET,GREATER LONDON,A,A,4
{2A289E9E-BD62-CDC8-E050-A8C063054829},43000,1995-05-19 00:00,N12 8PN,F,N,L,"WORSLEY COURT, 1",FLAT 4,MOSS HALL GROVE,,LONDON,BARNET,GREATER LONDON,A,A,2
{2A289E9E-B250-CDC8-E050-A8C063054829},48000,1995-09-11 00:00,N12 0AR,F,N,L,NORTH GATES,FLAT 25,HIGH ROAD,,LONDON,BARNET,GREATER LONDON,A,A,3
{2A289E9F-0AB4-CDC8-E050-A8C063054829},28000,1995-12-15 00:00,N12 8PJ,F,N,L,3,FLAT 4,MOSS HALL GROVE,,LONDON,BARNET,GREATER LONDON,A,A,5
{2A289E9E-4991-CDC8-E050-A8C063054829},27500,1995-04-18 00:00,N12 7NP,F,N,L,57,FLAT 3,NETHER STREET,,LONDON,BARNET,GREATER LONDON,A,A,2
{2A289E9E-724D-CDC8-E050-A8C063054829},47000,1995-10-16 00:00,N12 0HN,F,N,L,SPENCER COURT,FLAT 4,GRANVILLE ROAD,,LONDON,BARNET,GREATER LONDON,A,A,2
{C04EDD92-E3C6-4B49-AC4A-CC8096D37604},51500,1995-04-27 00:00,N12 9UD,F,N,L,99,FLAT 2,FRIERN PARK,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{0524AC51-70CC-47CD-A01F-D01B674DF61A},55000,1995-10-25 00:00,N12 8BJ,F,N,L,DUNCAN COURT,FLAT 1,NETHER STREET,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{BE59DAE1-414C-4382-89D8-74FC5502460B},53000,1995-07-31 00:00,N12 0AX,F,N,L,GRANVILLE PLACE,55A,HIGH ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
